id,customer_id,item_id,value,good_point,bad_point,improvement_point
1,1,1,1,ない,高い、ダサい、機能がショボすぎる,全部
2,2,1,3,一人暮らしには丁度良い,ちょっと高いかな,もう少し安くして欲しい
3,1,2,4,こういうのを待っていました。,これから値段を安くして欲しい,洗剤も全自動にして欲しい
4,2,2,5,この洗濯機最高です。,ちょっと値段が高いかな,洗剤も全自動にしてくれたら完璧
5,1,3,5,作業効率が爆あがりしました,他のソフトウェアとの相性を良くして欲しい,強いていうなら値段かな
6,2,3,5,デザインがいいです。,最新すぎて、扱いづらい,ケースを作って欲しい
7,1,4,4,デカすぎる,デカくて、重い,軽量化して欲しいです。
8,2,4,4,デザインが良いです。,ちょっと重い,軽くして欲しいです
9,1,5,2,デザインが良いです。,香水自体が良い匂いじゃない,香水をカスタマイズ できるようにしたい
10,2,5,3,デザインが可愛いです,香水が臭い,中身をもっと良くして欲しい
11,1,6,4,匂いが良いです,テクスチャーが悪いです。,伸びを良くして欲しいです。
12,2,6,2,良いところがないです。,匂い、テクスチャーのどちらも良くないです。,根本的に改善してください
13,1,7,3,別人になりました,落ちにくいです。,落ちやすくしてください
14,2,7,4,デザインが可愛い,落ちにくいです。,落ちやすくしてください
15,1,8,2,デザインが良いです。,種類が少ない,色の種類を増やしてください
16,2,8,3,デザインが良いです。,色の種類が少ないです,種類を増やしてください
17,1,9,5,うまい,店舗展開していない,店舗展開してください
18,2,9,4,バーガーがうまい,ポテトが残念,ポテトを美味しくしてください
19,1,10,3,麺がうまい,ソースを美味しくして欲しい,ソースを美味しくしてください
20,2,10,2,麺がうまい,種類が少ない,種類を増やしてください
21,1,11,3,ネタが新鮮,店主の癖がすごい,対応を良くして欲しい
22,2,11,4,ネタがうまい,店主の態度が悪い,店主の態度を直せば完璧
23,1,12,1,まずい,麺、スープ、トッピングの全てが悪い,根本的な改善をした方が良いのでは
24,2,12,2,スープは美味しいかな,麺がまずい,麺を美味しくして欲しい
25,1,13,4,デザインが良いです。,サイズが思ったより小さい,サイズ感を良くして欲しい
26,2,13,3,ロゴが可愛い,生地が安っぽい,生地に良いものを使って欲しい
27,1,14,3,デザインが最新で良い,合わせずらそう,セットアップにして欲しい
28,2,14,3,デザインが良い,生地と縫製が悪い,使う生地をもっと良いものを使って欲しい
29,1,15,1,ダサすぎる,ダサい,パッチをなくせ
30,2,15,1,デザインにガッカリ,ダサくない？,パッチはいるのか
31,1,16,4,生地が良いです。,シワがつきやすい,シワをつきにくくして欲しい
32,2,16,5,生地が良いです,シワがつきやすい,値段を安くして欲しい